127.0.0.1 - - [14/Jan/2024:20:27:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:11 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:11 +0530] "GET /Project_4/img/RaysLogo.png HTTP/1.1" 200 14924
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:21 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:27 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:40 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:27:40 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:30:17 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:30:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:30:17 +0530] "GET /Project_4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:30:17 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:37:23 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:20:37:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:00:22 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:00:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:00:31 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:00:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:01:12 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:01:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/index.html HTTP/1.1" 200 5730
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/type-search-index.zip HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/member-search-index.zip HTTP/1.1" 200 6842
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/member-search-index.js HTTP/1.1" 200 79382
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/package-search-index.js HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:09:58 +0530] "GET /Project_4/doc/type-search-index.js HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/in/co/pro4/bean/package-summary.html HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
