127.0.0.1 - - [14/Jan/2024:20:27:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:42 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/in/co/pro4/bean/BaseBean.html HTTP/1.1" 200 21214
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:10:47 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:11:03 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:11:17 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:11:18 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:11:22 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:13:05 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:13:10 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:14:16 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:15:34 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:17:47 +0530] "GET /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:30:40 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:30:40 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:30:40 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:30:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:34:31 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:34:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:34:32 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:35:01 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:35:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:35:01 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:41:47 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:41:47 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:41:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:41:47 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:42:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:42:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:42:18 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:42:28 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:42:28 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:49:21 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:49:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:27 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:30 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:34 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:43 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:47 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:49 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [14/Jan/2024:21:58:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:00:07 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:00:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:08:01 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:08:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:08:04 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:21:42 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:21:42 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:21:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:22:29 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10106
0:0:0:0:0:0:0:1 - - [14/Jan/2024:22:22:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
