127.0.0.1 - - [23/Jan/2024:13:07:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:20 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:23 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:25 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:38 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:38 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:40 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:07:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /Project_4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /Project_4/img/RaysLogo.png HTTP/1.1" 200 14924
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:17:46 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 200 12498
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:08 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:11 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:18 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6500
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:34 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:40 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6454
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:36:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:07 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:15 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 8039
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:33 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:38 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:49 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:37:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:45:54 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [23/Jan/2024:13:45:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:17:44 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:18:04 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:18:04 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:18:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:23:20 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:28:41 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:28:45 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:28:47 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:28:49 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:28:55 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:32:03 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:35:35 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:35:55 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:36:27 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:36:32 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:40:11 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:19 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:26 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:33 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:33 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:37 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:46 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:42:48 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:43:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:43:17 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:43:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:43:20 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:43:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:21 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:32 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:35 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:36 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:44:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:45:21 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:45:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:46:06 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:47:16 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:47:18 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [23/Jan/2024:14:48:33 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:15:01:37 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [23/Jan/2024:15:09:22 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [23/Jan/2024:15:14:56 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [23/Jan/2024:15:17:01 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3121
