127.0.0.1 - - [13/Jan/2024:12:29:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:29:47 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:29:51 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:29:54 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:31:49 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:31:52 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:31:52 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:31:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:28 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:28 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:28 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:35 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:35 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:34:44 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 6398
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:37:59 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:37:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:37:59 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:41:31 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:41:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:41:31 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:09 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:10 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:20 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:43:20 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:47:25 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:47:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:47:25 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:03 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:03 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:15 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:20 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:20 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [13/Jan/2024:12:49:36 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
