127.0.0.1 - - [31/Jan/2024:13:11:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:27 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:30 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:33 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:44 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:44 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:50 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:11:50 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:13:45 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:13:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:14:01 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:15:46 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:15:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:17:19 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:32:59 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:32:59 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:32:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:54:39 +0530] "GET /Project_4/ctl/UserCtl?id=2 HTTP/1.1" 200 7422
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:54:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:54:57 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [31/Jan/2024:13:54:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
