127.0.0.1 - - [14/Feb/2024:12:25:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:25:24 +0530] "GET /Project_4/WEB-INF/classes/in/co/pro4/utility/ServletUtility.java HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:26:02 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:26:05 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:26:07 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:26:19 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:26:19 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:33:38 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:33:38 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:33:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:33:38 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:59:44 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:59:52 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:59:52 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [14/Feb/2024:12:59:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:06:17 +0530] "GET /Project_4/ctl/UserCtl?id=4 HTTP/1.1" 200 7437
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:06:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:06:45 +0530] "POST /Project_4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:06:45 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:06:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:09:04 +0530] "GET /Project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12377
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:09:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:09:08 +0530] "GET /Project_4/ctl/TimeTableCtl HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:09:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:12:40 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [14/Feb/2024:13:12:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
