0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:36:34 +0530] "GET /Project_4/doc/in/co/pro4/controller/package-summary.html HTTP/1.1" 200 3171
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/in/co/pro4/controller/package-summary.html HTTP/1.1" 200 11792
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:38:12 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:39:35 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:39:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:35 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:37 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:38 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:45 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:12:56:45 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
