127.0.0.1 - - [16/Feb/2024:12:17:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:17:20 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:17:54 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:32:41 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:32:55 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:36:10 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:39:59 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:46:39 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:56:06 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:59:29 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [16/Feb/2024:12:59:50 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:11 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:12 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:18 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:19 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:19 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:19 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [16/Feb/2024:13:38:19 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
