127.0.0.1 - - [26/Jan/2024:13:24:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:02 +0530] "GET /Project_4/ HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:06 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:09 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:20 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:20 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:22 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:22 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:25 +0530] "GET /Project_4/ctl/UserCtl?id=6 HTTP/1.1" 200 7422
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:51:41 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:51:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:56:05 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 7238
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:56:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:58:21 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:58:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:58:55 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:58:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:00 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6850
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:05 +0530] "GET /Project_4/ctl/UserCtl?id=9 HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:09 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:59:10 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 4731
